representation,kv,sharer_layer,codec_layer,frequency_pct,mean_dct_power_unscaled,energy_0_10pct_auxiliary,spectral_centroid_pct_auxiliary
Raw Sharer KV,K,0,4,83.0,0.5979828492942029,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,84.0,0.6140598257182865,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,85.0,0.6416191286763934,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,86.0,0.8395516225954636,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,87.0,1.0379446719826957,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,88.0,1.039934653170059,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,89.0,0.8954930428270008,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,90.0,0.77593949768343,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,91.0,0.7991861023640381,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,92.0,0.9149630906688986,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,93.0,1.061318517967885,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,94.0,1.0395032489550062,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,95.0,0.8722360668762117,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,96.0,0.7059265200886877,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,97.0,0.6185582948001688,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,98.0,0.5734730769961603,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,99.0,0.585862012466678,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,100.0,0.5808169257506961,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,6,10,0.0,157.92954754829407,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,1.0,43.84733732850287,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,2.0,15.363667514650146,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,3.0,8.808816868383436,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,4.0,6.445023424439133,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,5.0,6.487538368219976,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,6.0,6.612854309268298,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,7.0,4.710480068535544,0.7514128124729001,11.305162483701146
